plant,pollinator,n,n_inat
Centaurea melitensis,Systasea pulverulenta,1,1
Centaurea melitensis,Vanessa cardui,1,1
Centaurea montana,Agapostemon virescens,20,20
Centaurea montana,Andrena commoda,1,1
Centaurea montana,Anthidium oblongatum,1,1
Centaurea montana,Anthophora terminalis,1,1
Centaurea montana,Apis mellifera,1,1
Centaurea montana,Archilochus colubris,1,1
Centaurea montana,Augochlora pura,6,6
Centaurea montana,Augochlorella aurata,1,1
Centaurea montana,Bombus affinis,5,5
Centaurea montana,Bombus auricomus,2,2
Centaurea montana,Bombus bimaculatus,7,6
Centaurea montana,Bombus borealis,1,1
Centaurea montana,Bombus fervidus,12,10
Centaurea montana,Bombus flavifrons,3,3
Centaurea montana,Bombus griseocollis,33,30
Centaurea montana,Bombus impatiens,14,14
Centaurea montana,Bombus melanopygus,2,2
Centaurea montana,Bombus mixtus,2,2
Centaurea montana,Bombus occidentalis,1,1
Centaurea montana,Bombus pensylvanicus,3,3
Centaurea montana,Bombus perplexus,2,2
Centaurea montana,Bombus rufocinctus,10,7
Centaurea montana,Bombus sitkensis,1,0
Centaurea montana,Bombus ternarius,5,4
Centaurea montana,Bombus terricola,3,1
Centaurea montana,Bombus vancouverensis,1,1
Centaurea montana,Chalybion californicum,2,2
Centaurea montana,Epargyreus clarus,1,1
Centaurea montana,Glaucopsyche lygdamus,1,1
Centaurea montana,Halictus ligatus,11,11
Centaurea montana,Lon hobomok,2,2
Centaurea montana,Megachile perihirta,1,1
Centaurea montana,Papilio canadensis,1,1
Centaurea montana,Polistes dominula,1,1
Centaurea montana,Prenolepis imparis,1,1
Centaurea montana,Pseudoanthidium nanum,1,1
Centaurea montana,Rhingia nasica,1,1
Centaurea montana,Toxomerus marginatus,1,1
Centaurea montana,Vanessa virginiensis,2,2
Centaurea montana,Vespula atropilosa,1,1
Centaurea montana,Xylocopa virginica,2,2
Centaurea nigrescens,Apis mellifera,1,1
Centaurea nigrescens,Bombus borealis,1,1
Centaurea nigrescens,Bombus impatiens,4,4
Centaurea nigrescens,Bombus pensylvanicus,1,1
Centaurea nigrescens,Burnsius communis,1,1
Centaurea nigrescens,Colias eurytheme,1,1
Centaurea nigrescens,Colias philodice,1,1
Centaurea nigrescens,Epargyreus clarus,1,1
Centaurea nigrescens,Eristalis tenax,1,1
Centaurea nigrescens,Erynnis baptisiae,1,1
Centaurea nigrescens,Erynnis horatius,1,1
Centaurea nigrescens,Halictus ligatus,1,1
Centaurea nigrescens,Helophilus fasciatus,1,1
Centaurea nigrescens,Lon zabulon,3,3
Centaurea nigrescens,Megachile mendica,1,1
Centaurea nigrescens,Pieris rapae,2,2
Centaurea nigrescens,Vanessa virginiensis,1,1
Centaurea solstitialis,Acmaeodera hepburnii,1,1
Centaurea solstitialis,Allograpta exotica,2,2
Centaurea solstitialis,Anthophora urbana,1,1
Centaurea solstitialis,Apis mellifera,31,31
Centaurea solstitialis,Argynnis coronis,2,2
Centaurea solstitialis,Atalopedes campestris,2,2
Centaurea solstitialis,Augochlorella pomoniella,1,1
Centaurea solstitialis,Battus philenor,3,3
Centaurea solstitialis,Bombus appositus,2,0
Centaurea solstitialis,Bombus bifarius,1,0
Centaurea solstitialis,Bombus californicus,5,5
Centaurea solstitialis,Bombus centralis,1,0
Centaurea solstitialis,Bombus crotchii,3,1
Centaurea solstitialis,Bombus fervidus,9,0
Centaurea solstitialis,Bombus flavifrons,3,0
Centaurea solstitialis,Bombus griseocollis,4,0
Centaurea solstitialis,Bombus huntii,2,0
Centaurea solstitialis,Bombus melanopygus,1,0
Centaurea solstitialis,Bombus morrisoni,1,0
Centaurea solstitialis,Bombus nevadensis,1,0
Centaurea solstitialis,Bombus pensylvanicus,2,2
Centaurea solstitialis,Bombus rufocinctus,5,0
Centaurea solstitialis,Bombus vandykei,3,0
Centaurea solstitialis,Bombus vosnesenskii,50,7
Centaurea solstitialis,Brephidium exilis,1,1
Centaurea solstitialis,Burnsius albezens,1,1
Centaurea solstitialis,Burnsius communis,8,8
Centaurea solstitialis,Coenonympha california,1,1
Centaurea solstitialis,Colias eurytheme,11,11
Centaurea solstitialis,Colias harfordii,1,1
Centaurea solstitialis,Danaus plexippus,3,3
Centaurea solstitialis,Eresia aveyrona,3,3
Centaurea solstitialis,Erynnis funeralis,1,1
Centaurea solstitialis,Erynnis tristis,10,10
Centaurea solstitialis,Halictus ligatus,4,4
Centaurea solstitialis,Heliopetes ericetorum,4,4
Centaurea solstitialis,Heliothodes diminutiva,1,1
Centaurea solstitialis,Hesperia columbia,2,2
Centaurea solstitialis,Hesperia juba,2,2
Centaurea solstitialis,Hylephila phyleus,3,3
Centaurea solstitialis,Icaricia acmon,8,8
Centaurea solstitialis,Junonia grisea,4,4
Centaurea solstitialis,Larinus curtus,20,20
Centaurea solstitialis,Lerodea eufala,1,1
Centaurea solstitialis,Lon melane,7,7
Centaurea solstitialis,Megachile apicalis,18,16
Centaurea solstitialis,Ochlodes agricola,5,5
Centaurea solstitialis,Ochlodes sylvanoides,61,61
Centaurea solstitialis,Papilio zelicaon,5,5
Centaurea solstitialis,Pieris rapae,3,3
Centaurea solstitialis,Polistes dominula,1,1
Centaurea solstitialis,Polites sabuleti,4,4
Centaurea solstitialis,Pontia protodice,4,4
Centaurea solstitialis,Toxomerus occidentalis,1,1
Centaurea solstitialis,Vanessa cardui,5,5
Centaurea solstitialis,Vanessa virginiensis,1,1
Centaurea solstitialis,Vespula pensylvanica,2,2
Centaurea solstitialis,Zerene eurydice,3,3
Centaurea stoebe,Abaeis nicippe,2,2
Centaurea stoebe,Agapostemon sericeus,1,1
Centaurea stoebe,Agapostemon splendens,2,2
Centaurea stoebe,Agapostemon texanus,1,1
Centaurea stoebe,Agapostemon virescens,5,4
Centaurea stoebe,Aglais milberti,1,1
Centaurea stoebe,Ammophila nigricans,1,1
Centaurea stoebe,Ammophila procera,2,2
Centaurea stoebe,Anacrabro ocellatus,1,1
Centaurea stoebe,Anthidium mormonum,1,0
Centaurea stoebe,Anthidium utahense,3,0
Centaurea stoebe,Anthophora urbana,4,1
Centaurea stoebe,Anthrax irroratus,1,0
Centaurea stoebe,Anthrax pauper,1,0
Centaurea stoebe,Apis mellifera,69,21
Centaurea stoebe,Ashmeadiella bucconis,2,0
Centaurea stoebe,Ashmeadiella cactorum,1,0
Centaurea stoebe,Atrytone delaware,6,6
Centaurea stoebe,Augochlora pura,1,1
Centaurea stoebe,Augochlorella aurata,1,1
Centaurea stoebe,Battus philenor,1,1
Centaurea stoebe,Bombus,7,7
Centaurea stoebe,Bombus affinis,23,21
Centaurea stoebe,Bombus appositus,16,1
Centaurea stoebe,Bombus auricomus,1,1
Centaurea stoebe,Bombus bifarius,409,0
Centaurea stoebe,Bombus bimaculatus,27,16
Centaurea stoebe,Bombus borealis,34,32
Centaurea stoebe,Bombus centralis,33,0
Centaurea stoebe,Bombus citrinus,17,17
Centaurea stoebe,Bombus fervidus,34,10
Centaurea stoebe,Bombus flavidus,19,1
Centaurea stoebe,Bombus flavifrons,38,0
Centaurea stoebe,Bombus griseocollis,94,62
Centaurea stoebe,Bombus huntii,24,2
Centaurea stoebe,Bombus impatiens,207,163
Centaurea stoebe,Bombus insularis,22,0
Centaurea stoebe,Bombus melanopygus,2,0
Centaurea stoebe,Bombus mixtus,12,0
Centaurea stoebe,Bombus morrisoni,2,0
Centaurea stoebe,Bombus nevadensis,5,0
Centaurea stoebe,Bombus occidentalis,49,1
Centaurea stoebe,Bombus pensylvanicus,5,3
Centaurea stoebe,Bombus perplexus,15,13
Centaurea stoebe,Bombus rufocinctus,83,31
Centaurea stoebe,Bombus sandersoni,1,0
Centaurea stoebe,Bombus sitkensis,1,0
Centaurea stoebe,Bombus ternarius,37,30
Centaurea stoebe,Bombus terricola,25,22
Centaurea stoebe,Bombus vagans,43,9
Centaurea stoebe,Bombus vancouverensis,1,1
Centaurea stoebe,Bombus vosnesenskii,7,0
Centaurea stoebe,Burnsius communis,3,3
Centaurea stoebe,Calliopsis andreniformis,2,2
Centaurea stoebe,Ceratina nanula,1,0
Centaurea stoebe,Cercyonis pegala,2,2
Centaurea stoebe,Chauliognathus pensylvanicus,3,3
Centaurea stoebe,Chlosyne nycteis,1,1
Centaurea stoebe,Chrysodeixis includens,1,1
Centaurea stoebe,Coelioxys rufitarsis,1,0
Centaurea stoebe,Colias eurytheme,15,15
Centaurea stoebe,Colias philodice,5,5
Centaurea stoebe,Copestylum vittatum,1,1
Centaurea stoebe,Ctenucha virginica,1,1
Centaurea stoebe,Danaus plexippus,22,22
Centaurea stoebe,Diabrotica undecimpunctata,3,3
Centaurea stoebe,Dianthidium subparvum,4,0
Centaurea stoebe,Dianthidium ulkei,1,0
Centaurea stoebe,Dieunomia heteropoda,1,1
Centaurea stoebe,Dolba hyloeus,1,1
Centaurea stoebe,Dolichovespula arenaria,1,1
Centaurea stoebe,Epargyreus clarus,10,10
Centaurea stoebe,Epistrophe grossulariae,1,1
Centaurea stoebe,Eremnophila aureonotata,1,1
Centaurea stoebe,Eristalis arbustorum,1,1
Centaurea stoebe,Eristalis tenax,1,1
Centaurea stoebe,Erynnis baptisiae,13,13
Centaurea stoebe,Erynnis horatius,6,6
Centaurea stoebe,Erynnis martialis,2,2
Centaurea stoebe,Euodynerus hidalgo,1,1
Centaurea stoebe,Eupeodes americanus,3,3
Centaurea stoebe,Eupeodes snowi,2,0
Centaurea stoebe,Euphyes vestris,5,5
Centaurea stoebe,Euptoieta claudia,4,4
Centaurea stoebe,Halictus confusus,3,2
Centaurea stoebe,Halictus ligatus,14,12
Centaurea stoebe,Halictus parallelus,2,2
Centaurea stoebe,Halictus rubicundus,2,0
Centaurea stoebe,Halictus tripartitus,9,0
Centaurea stoebe,Hemaris diffinis,11,11
Centaurea stoebe,Hemaris thysbe,4,4
Centaurea stoebe,Hemipenthes morioides,4,0
Centaurea stoebe,Hemipenthes sinuosus,6,0
Centaurea stoebe,Heriades carinata,1,0
Centaurea stoebe,Hesperia juba,2,2
Centaurea stoebe,Hesperia leonardus,5,5
Centaurea stoebe,Hoplitis sambuci,1,0
Centaurea stoebe,Hylephila phyleus,3,3
Centaurea stoebe,Junonia coenia,4,4
Centaurea stoebe,Larinus minutus,2,2
Centaurea stoebe,Larinus obtusus,15,15
Centaurea stoebe,Lasioglossum albipenne,1,0
Centaurea stoebe,Lasioglossum hitchensi,1,1
Centaurea stoebe,Lasioglossum marinum,1,1
Centaurea stoebe,Lasioglossum oblongum,1,1
Centaurea stoebe,Lasioglossum pilosum,2,2
Centaurea stoebe,Lasioglossum sedi,1,0
Centaurea stoebe,Lasioglossum vierecki,2,2
Centaurea stoebe,Lestica confluenta,1,1
Centaurea stoebe,Lestica producticollis,1,1
Centaurea stoebe,Limenitis archippus,2,2
Centaurea stoebe,Lithurgus chrysurus,2,2
Centaurea stoebe,Lon zabulon,11,11
Centaurea stoebe,Lycaena hypophlaeas,3,3
Centaurea stoebe,Lycomorpha pholus,1,1
Centaurea stoebe,Megachile apicalis,42,3
Centaurea stoebe,Megachile fidelis,4,0
Centaurea stoebe,Megachile frigida,1,0
Centaurea stoebe,Megachile frugalis,1,1
Centaurea stoebe,Megachile gemula,1,1
Centaurea stoebe,Megachile inermis,1,1
Centaurea stoebe,Megachile latimanus,6,5
Centaurea stoebe,Megachile montivaga,2,0
Centaurea stoebe,Megachile perihirta,11,0
Centaurea stoebe,Megachile pugnata,6,0
Centaurea stoebe,Megachile relativa,3,0
Centaurea stoebe,Megachile rotundata,4,2
Centaurea stoebe,Megachile sculpturalis,5,5
Centaurea stoebe,Megachile texana,1,1
Centaurea stoebe,Meliscaeva cinctella,1,1
Centaurea stoebe,Melissodes bimaculatus,8,8
Centaurea stoebe,Melissodes denticulatus,1,1
Centaurea stoebe,Melissodes desponsus,1,0
Centaurea stoebe,Melissodes microstictus,1,0
Centaurea stoebe,Milesia virginiensis,1,1
Centaurea stoebe,Ochlodes sylvanoides,1,1
Centaurea stoebe,Osmia coloradensis,1,0
Centaurea stoebe,Osmia trevoris,1,0
Centaurea stoebe,Panoquina panoquin,7,7
Centaurea stoebe,Papilio cresphontes,5,5
Centaurea stoebe,Papilio glaucus,11,11
Centaurea stoebe,Papilio polyxenes,20,20
Centaurea stoebe,Papilio troilus,6,6
Centaurea stoebe,Paranthidium jugatorium,1,1
Centaurea stoebe,Peponapis pruinosa,1,1
Centaurea stoebe,Philanthus gibbosus,2,2
Centaurea stoebe,Philanthus ventilabris,1,1
Centaurea stoebe,Pholisora catullus,2,2
Centaurea stoebe,Phyciodes tharos,5,4
Centaurea stoebe,Pieris rapae,29,29
Centaurea stoebe,Plebejus samuelis,7,7
Centaurea stoebe,Poanes massasoit,3,3
Centaurea stoebe,Poanes viator,4,4
Centaurea stoebe,Polistes fuscatus,1,1
Centaurea stoebe,Polites themistocles,9,9
Centaurea stoebe,Polygonia comma,1,1
Centaurea stoebe,Problema bulenta,3,3
Centaurea stoebe,Protographium marcellus,1,1
Centaurea stoebe,Pseudoanthidium nanum,8,8
Centaurea stoebe,Ptilothrix bombiformis,1,1
Centaurea stoebe,Satyrium edwardsii,1,1
Centaurea stoebe,Sitochroa palealis,2,2
Centaurea stoebe,Sphaerophoria contigua,1,0
Centaurea stoebe,Sphecius speciosus,1,1
Centaurea stoebe,Sphex ichneumoneus,1,1
Centaurea stoebe,Sphex pensylvanicus,1,1
Centaurea stoebe,Strymon melinus,1,1
Centaurea stoebe,Stylogaster biannulata,2,2
Centaurea stoebe,Syritta pipiens,1,1
Centaurea stoebe,Systoechus vulgaris,2,0
Centaurea stoebe,Thymelicus lineola,1,0
Centaurea stoebe,Toxomerus geminatus,1,1
Centaurea stoebe,Toxomerus marginatus,1,1
Centaurea stoebe,Trichiotinus affinis,1,1
Centaurea stoebe,Typocerus velutinus,1,1
Centaurea stoebe,Vanessa atalanta,3,3
Centaurea stoebe,Vanessa cardui,10,10
Centaurea stoebe,Vanessa virginiensis,15,15
Centaurea stoebe,Vernia verna,2,2
Centaurea stoebe,Villa alternata,3,0
Centaurea stoebe,Villa lateralis,2,0
Centaurea stoebe,Wallengrenia egeremet,4,4
Centaurea stoebe,Xylocopa virginica,2,2
Centaurium erythraea,Toxomerus marginatus,1,1
Centaurium pulchellum,Anthophora terminalis,1,1
Centranthus ruber,Allograpta obliqua,1,1
Centranthus ruber,Apis mellifera,7,3
Centranthus ruber,Atalopedes campestris,1,1
Centranthus ruber,Battus philenor,8,8
Centranthus ruber,Bombus mixtus,2,0
Centranthus ruber,Bombus vosnesenskii,3,1
Centranthus ruber,Calypte anna,1,0
Centranthus ruber,Colias eurytheme,1,1
Centranthus ruber,Danaus plexippus,10,10
Centranthus ruber,Dione vanillae,7,7
Centranthus ruber,Eristalinus aeneus,2,2
Centranthus ruber,Eristalis tenax,1,0
Centranthus ruber,Erynnis propertius,2,2
Centranthus ruber,Erynnis tristis,3,3
Centranthus ruber,Hemaris thetis,1,1
Centranthus ruber,Hemaris thysbe,2,2
Centranthus ruber,Hylephila phyleus,7,7
Centranthus ruber,Hyles lineata,1,1
Centranthus ruber,Junonia grisea,1,1
Centranthus ruber,Leptotes marina,1,1
Centranthus ruber,Lon melane,8,8
Centranthus ruber,Macroglossum stellatarum,1,1
Centranthus ruber,Ochlodes sylvanoides,6,6
Centranthus ruber,Papilio multicaudata,1,1
Centranthus ruber,Papilio polyxenes,1,1
Centranthus ruber,Papilio rutulus,16,16
Centranthus ruber,Papilio troilus,1,1
Centranthus ruber,Papilio zelicaon,8,8
Centranthus ruber,Phoebis agarithe,1,1
Centranthus ruber,Pieris rapae,4,4
Centranthus ruber,Selasphorus sasin,1,1
Centranthus ruber,Strymon melinus,1,1
Centranthus ruber,Syritta pipiens,1,1
Centranthus ruber,Toxomerus geminatus,1,1
Centranthus ruber,Vanessa annabella,3,3
Centranthus ruber,Vanessa cardui,4,4
Centromadia fitchii,Icaricia acmon,1,1
Centromadia parryi,Agapostemon melliventris,1,1
Centromadia parryi,Halictus ligatus,2,2
Centromadia parryi,Ochlodes sylvanoides,1,1
Centromadia parryi,Paragus haemorrhous,1,1
Centromadia parryi,Sphaerophoria sulphuripes,1,1
Centromadia pungens,Anthophora curta,1,1
Centromadia pungens,Apis mellifera,4,4
Centromadia pungens,Bicyrtes capnopterus,2,2
Centromadia pungens,Bombus vosnesenskii,1,0
Centromadia pungens,Brephidium exilis,1,1
Centromadia pungens,Burnsius communis,2,2
Centromadia pungens,Eristalinus aeneus,1,1
Centromadia pungens,Halictus ligatus,2,2
Centromadia pungens,Icaricia acmon,4,4
Centromadia pungens,Megachile fidelis,1,1
Centromadia pungens,Ochlodes sylvanoides,2,2
Centromadia pungens,Paragus haemorrhous,2,2
Centromadia pungens,Pontia protodice,1,1
Centrosema arenicola,Bombus pensylvanicus,1,1
Centrosema arenicola,Typocerus zebra,1,1
Centrosema virginianum,Atrytone delaware,2,2
Centrosema virginianum,Bombus impatiens,4,3
Centrosema virginianum,Bombus pensylvanicus,14,13
Centrosema virginianum,Euglossa dilemma,2,2
Centrosema virginianum,Hedone vibex,2,2
Centrosema virginianum,Heliconius charithonia,1,1
Centrosema virginianum,Junonia coenia,1,1
Centrosema virginianum,Lerema accius,6,6
Centrosema virginianum,Lon zabulon,1,1
Centrosema virginianum,Nastra lherminier,1,1
Centrosema virginianum,Urbanus proteus,1,1
Centrosema virginianum,Xylocopa micans,1,1
Centrosema virginianum,Xylocopa virginica,1,1
Cephalanthus occidentalis,Abaeis nicippe,1,1
Cephalanthus occidentalis,Achyra rantalis,1,1
Cephalanthus occidentalis,Acronicta oblinita,4,4
Cephalanthus occidentalis,Agapostemon splendens,1,1
Cephalanthus occidentalis,Agapostemon texanus,1,0
Cephalanthus occidentalis,Agapostemon virescens,1,1
Cephalanthus occidentalis,Aglais milberti,1,1
Cephalanthus occidentalis,Agrotis ipsilon,1,1
Cephalanthus occidentalis,Allograpta obliqua,1,1
Cephalanthus occidentalis,Alypia octomaculata,18,18
Cephalanthus occidentalis,Anartia jatrophae,2,2
Cephalanthus occidentalis,Ancyloxypha numitor,3,3
Cephalanthus occidentalis,Andrena spiraeana,2,0
Cephalanthus occidentalis,Angarotipula illustris,1,1
Cephalanthus occidentalis,Anicla infecta,1,1
Cephalanthus occidentalis,Anthophora bomboides,2,2
Cephalanthus occidentalis,Anthophora terminalis,2,2
Cephalanthus occidentalis,Apallates coxendix,1,0
Cephalanthus occidentalis,Apis mellifera,80,79
Cephalanthus occidentalis,Archilochus alexandri,1,1
Cephalanthus occidentalis,Archilochus colubris,5,5
Cephalanthus occidentalis,Asbolis capucinus,3,3
Cephalanthus occidentalis,Ascia monuste,1,1
Cephalanthus occidentalis,Asterocampa celtis,1,1
Cephalanthus occidentalis,Atlides halesus,3,3
Cephalanthus occidentalis,Atrytone delaware,6,6
Cephalanthus occidentalis,Augochlora pura,14,13
Cephalanthus occidentalis,Battus philenor,17,17
Cephalanthus occidentalis,Bicyrtes quadrifasciatus,3,3
Cephalanthus occidentalis,Bombus,6,6
Cephalanthus occidentalis,Bombus affinis,2,2
Cephalanthus occidentalis,Bombus auricomus,12,9
Cephalanthus occidentalis,Bombus bimaculatus,156,116
Cephalanthus occidentalis,Bombus californicus,3,3
Cephalanthus occidentalis,Bombus citrinus,3,3
Cephalanthus occidentalis,Bombus crotchii,5,0
Cephalanthus occidentalis,Bombus fervidus,1,1
Cephalanthus occidentalis,Bombus fraternus,11,8
Cephalanthus occidentalis,Bombus griseocollis,207,187
Cephalanthus occidentalis,Bombus impatiens,143,127
Cephalanthus occidentalis,Bombus melanopygus,1,0
Cephalanthus occidentalis,Bombus pensylvanicus,38,31
Cephalanthus occidentalis,Bombus perplexus,146,144
Cephalanthus occidentalis,Bombus ternarius,14,14
Cephalanthus occidentalis,Bombus terricola,63,63
Cephalanthus occidentalis,Bombus vagans,1,1
Cephalanthus occidentalis,Bombus vosnesenskii,1,0
Cephalanthus occidentalis,Brachymelecta californica,1,1
Cephalanthus occidentalis,Calpodes ethlius,3,3
Cephalanthus occidentalis,Camponotus pennsylvanicus,1,1
Cephalanthus occidentalis,Camponotus planatus,1,1
Cephalanthus occidentalis,Ceratina calcarata,3,2
Cephalanthus occidentalis,Cerceris fumipennis,1,1
Cephalanthus occidentalis,Cercyonis pegala,3,3
Cephalanthus occidentalis,Chauliognathus marginatus,6,6
Cephalanthus occidentalis,Chauliognathus pensylvanicus,2,2
Cephalanthus occidentalis,Chlosyne nycteis,1,1
Cephalanthus occidentalis,Cisseps fulvicollis,16,16
Cephalanthus occidentalis,Clossiana toddi,1,1
Cephalanthus occidentalis,Coleomegilla maculata,1,1
Cephalanthus occidentalis,Colias eurytheme,3,3
Cephalanthus occidentalis,Colias philodice,1,1
Cephalanthus occidentalis,Colletes thoracicus,2,2
Cephalanthus occidentalis,Conchylodes ovulalis,1,1
Cephalanthus occidentalis,Copestylum vesicularium,6,6
Cephalanthus occidentalis,Cosmosoma myrodora,1,1
Cephalanthus occidentalis,Cotinis nitida,1,1
Cephalanthus occidentalis,Ctenucha virginica,24,24
Cephalanthus occidentalis,Cyaniris neglecta,4,4
Cephalanthus occidentalis,Cynomya cadaverina,1,0
Cephalanthus occidentalis,Dahana atripennis,1,1
Cephalanthus occidentalis,Danaus gilippus,6,6
Cephalanthus occidentalis,Danaus plexippus,53,53
Cephalanthus occidentalis,Desmia funeralis,1,1
Cephalanthus occidentalis,Dieunomia heteropoda,1,1
Cephalanthus occidentalis,Dione vanillae,9,9
Cephalanthus occidentalis,Dolichovespula arenaria,1,1
Cephalanthus occidentalis,Empyreuma pugione,1,1
Cephalanthus occidentalis,Epargyreus clarus,125,125
Cephalanthus occidentalis,Epeolus lectoides,1,1
Cephalanthus occidentalis,Eremnophila aureonotata,2,2
Cephalanthus occidentalis,Eristalis dimidiata,1,1
Cephalanthus occidentalis,Eristalis flavipes,2,2
Cephalanthus occidentalis,Eristalis saxorum,3,3
Cephalanthus occidentalis,Eristalis stipator,3,2
Cephalanthus occidentalis,Eristalis tenax,7,7
Cephalanthus occidentalis,Eristalis transversa,19,19
Cephalanthus occidentalis,Erynnis baptisiae,2,2
Cephalanthus occidentalis,Erynnis funeralis,1,1
Cephalanthus occidentalis,Erynnis horatius,14,14
Cephalanthus occidentalis,Euderces picipes,1,1
Cephalanthus occidentalis,Eumenes fraternus,1,1
Cephalanthus occidentalis,Euodynerus foraminatus,1,1
Cephalanthus occidentalis,Eupeodes americanus,1,1
Cephalanthus occidentalis,Euphydryas phaeton,2,2
Cephalanthus occidentalis,Euphyes arpa,1,1
Cephalanthus occidentalis,Euphyes berryi,1,1
Cephalanthus occidentalis,Euphyes dion,1,1
Cephalanthus occidentalis,Euphyes pilatka,1,1
Cephalanthus occidentalis,Euphyes vestris,14,14
Cephalanthus occidentalis,Euptoieta claudia,1,1
Cephalanthus occidentalis,Eutrapela clemataria,1,1
Cephalanthus occidentalis,Exomala orientalis,2,2
Cephalanthus occidentalis,Falsomordellistena pubescens,1,1
Cephalanthus occidentalis,Florilegus condignus,1,1
Cephalanthus occidentalis,Glenostictia pictifrons,1,0
Cephalanthus occidentalis,Halictus confusus,1,0
Cephalanthus occidentalis,Halictus ligatus,1,1
Cephalanthus occidentalis,Halysidota tessellaris,1,1
Cephalanthus occidentalis,Haploa confusa,2,2
Cephalanthus occidentalis,Harrisina americana,3,3
Cephalanthus occidentalis,Hedone vibex,2,2
Cephalanthus occidentalis,Heliconius charithonia,2,2
Cephalanthus occidentalis,Hemaris diffinis,43,43
Cephalanthus occidentalis,Hemaris thysbe,58,58
Cephalanthus occidentalis,Hoshihananomia octopunctata,2,2
Cephalanthus occidentalis,Hyalophora cecropia,1,1
Cephalanthus occidentalis,Hylaeus graenicheri,1,1
Cephalanthus occidentalis,Hylaeus hyalinatus,2,2
Cephalanthus occidentalis,Hylaeus ornatus,5,5
Cephalanthus occidentalis,Hylephila phyleus,7,7
Cephalanthus occidentalis,Judolia cordifera,1,1
Cephalanthus occidentalis,Junonia coenia,3,3
Cephalanthus occidentalis,Lasioglossum fuscipenne,1,1
Cephalanthus occidentalis,Lasioglossum imitatum,2,1
Cephalanthus occidentalis,Lasioglossum obscurum,1,0
Cephalanthus occidentalis,Lasioglossum versatum,1,1
Cephalanthus occidentalis,Lasioglossum weemsi,1,0
Cephalanthus occidentalis,Lerema accius,3,3
Cephalanthus occidentalis,Limenitis archippus,18,18
Cephalanthus occidentalis,Limenitis astyanax,2,2
Cephalanthus occidentalis,Lon zabulon,9,9
Cephalanthus occidentalis,Lycomorpha pholus,5,5
Cephalanthus occidentalis,Marpesia petreus,1,1
Cephalanthus occidentalis,Megachile mendica,2,1
Cephalanthus occidentalis,Megachile sculpturalis,46,46
Cephalanthus occidentalis,Megachile texana,1,0
Cephalanthus occidentalis,Megachile xylocopoides,2,2
Cephalanthus occidentalis,Melissodes apicatus,1,1
Cephalanthus occidentalis,Melissodes bimaculatus,6,6
Cephalanthus occidentalis,Meromacrus acutus,1,1
Cephalanthus occidentalis,Milesia virginiensis,6,6
Cephalanthus occidentalis,Monocesta coryli,1,1
Cephalanthus occidentalis,Mordella marginata,1,1
Cephalanthus occidentalis,Mydas clavatus,1,1
Cephalanthus occidentalis,Myrmosa unicolor,1,1
Cephalanthus occidentalis,Mythimna unipuncta,1,1
Cephalanthus occidentalis,Oarisma aurantiaca,1,1
Cephalanthus occidentalis,Oarisma minima,1,1
Cephalanthus occidentalis,Ocyptamus costatus,1,1
Cephalanthus occidentalis,Ocyptamus fuscipennis,3,3
Cephalanthus occidentalis,Orthonevra nitida,2,2
Cephalanthus occidentalis,Osphya varians,1,0
Cephalanthus occidentalis,Panoquina ocola,3,3
Cephalanthus occidentalis,Panoquina panoquin,1,1
Cephalanthus occidentalis,Papilio canadensis,1,1
Cephalanthus occidentalis,Papilio cresphontes,7,7
Cephalanthus occidentalis,Papilio glaucus,217,217
Cephalanthus occidentalis,Papilio palamedes,2,2
Cephalanthus occidentalis,Papilio polyxenes,8,8
Cephalanthus occidentalis,Papilio rumiko,2,2
Cephalanthus occidentalis,Papilio rutulus,7,7
Cephalanthus occidentalis,Papilio troilus,26,26
Cephalanthus occidentalis,Paradidyma singularis,1,0
Cephalanthus occidentalis,Parhelophilus divisus,1,0
Cephalanthus occidentalis,Parhelophilus integer,5,5
Cephalanthus occidentalis,Peponapis pruinosa,2,2
Cephalanthus occidentalis,Peridroma saucia,1,1
Cephalanthus occidentalis,Phoebis agarithe,3,3
Cephalanthus occidentalis,Phoebis sennae,1,1
Cephalanthus occidentalis,Phyciodes tharos,4,4
Cephalanthus occidentalis,Physocephala tibialis,4,4
Cephalanthus occidentalis,Pieris rapae,3,3
Cephalanthus occidentalis,Poanes massasoit,4,4
Cephalanthus occidentalis,Poanes viator,18,18
Cephalanthus occidentalis,Podosesia syringae,1,1
Cephalanthus occidentalis,Polites themistocles,2,2
Cephalanthus occidentalis,Polygonia comma,1,1
Cephalanthus occidentalis,Popillia japonica,1,1
Cephalanthus occidentalis,Problema bulenta,6,6
Cephalanthus occidentalis,Problema byssus,1,1
Cephalanthus occidentalis,Protographium marcellus,7,7
Cephalanthus occidentalis,Ptilothrix bombiformis,22,22
Cephalanthus occidentalis,Pyrausta acrionalis,1,1
Cephalanthus occidentalis,Pyrausta bicoloralis,1,1
Cephalanthus occidentalis,Rhagonycha fulva,1,1
Cephalanthus occidentalis,Satyrium calanus,2,2
Cephalanthus occidentalis,Sceliphron caementarium,1,1
Cephalanthus occidentalis,Scythris sinensis,2,2
Cephalanthus occidentalis,Sericomyia chrysotoxoides,2,2
Cephalanthus occidentalis,Siproeta stelenes,1,1
Cephalanthus occidentalis,Sphex pensylvanicus,1,1
Cephalanthus occidentalis,Spilomyia alcimus,7,7
